Cat_0,Cat_1,Cat_10,Cat_11,Cat_12,Cat_13,Cat_14,Cat_15,Cat_16,Cat_17,Cat_18,Cat_19,Cat_2,Cat_20,Cat_21,Cat_22,Cat_23,Cat_24,Cat_25,Cat_26,Cat_27,Cat_28,Cat_29,Cat_3,Cat_30,Cat_31,Cat_32,Cat_33,Cat_4,Cat_5,Cat_6,Cat_7,Cat_8,Cat_9,Real_0,Real_1,Real_10,Real_11,Real_12,Real_13,Real_14,Real_15,Real_16,Real_17,Real_18,Real_19,Real_2,Real_20,Real_21,Real_22,Real_23,Real_24,Real_25,Real_26,Real_27,Real_28,Real_3,Real_4,Real_5,Real_6,Real_7,Real_8,Real_9,Target,Target
1,-1,5,6,2,4,1,3,3,3,2,0,3,4,1,4,3,6,1,1,4,3,2,3,-1,2,-1,4,0,4,2,0,3,1,-0.01674862718856422,-0.5609356140406917,0.17332242225859248,0.0,0.0,0.13828183873398645,0.5,0.3333333333333333,0.0,0.0,0.4,0.1861777150916784,-0.6507949781289248,0.26373626373626374,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.5555555555555556,0.8571428571428571,0.8833333333333333,0.11746987951807229,0.0,0.1695205479452055,7.3427791893318455,7.3427791893318455
1,-1,5,6,1,4,2,0,3,0,2,0,0,0,1,4,2,6,1,1,4,3,2,3,-1,-1,-1,4,0,0,2,0,1,1,1.105794420357634,1.3729381270377212,0.23944353518821604,0.5433414043583535,0.0,0.4310474755086662,0.0,0.6666666666666666,0.5,0.0,0.7,0.5021156558533145,0.6233360123761073,0.2554945054945055,0.06118546845124283,0.0,0.0,0.0,0.0,0.0,0.2727272727272727,1.0,0.23529411764705882,0.7777777777777778,0.42857142857142855,0.75,0.18284904323175052,0.0,0.18450342465753425,8.086410275323782,8.086410275323782
1,0,13,15,2,4,1,3,3,3,5,0,3,2,1,0,3,6,5,2,4,3,2,3,-1,-1,-1,4,0,4,2,0,1,1,-0.5780201509616634,-0.5609356140406917,0.16497545008183306,0.0,0.0,0.13074604370761114,0.0,0.3333333333333333,0.0,0.0,0.3,0.2538787023977433,-2.1304309671025106,0.0,0.0,0.4088050314465409,0.0,0.0,0.0,0.0,0.18181818181818182,1.0,0.058823529411764705,0.4444444444444444,0.5714285714285714,0.0,0.0,0.0,0.4315068493150685,7.047517221357296,7.047517221357296
1,-1,4,5,2,2,1,3,3,3,0,0,3,0,1,4,3,6,5,2,4,3,2,3,-1,-1,-1,4,0,0,2,0,1,1,-0.8185650897215629,-0.5609356140406917,0.16432078559738134,0.3196125907990315,0.0,0.25056518462697813,0.0,0.6666666666666666,0.0,0.0,0.5,0.29619181946403383,-1.1851079741471642,0.0,0.045889101338432124,0.11320754716981132,0.0,0.0,0.0,0.0,0.8181818181818182,0.0,0.17647058823529413,0.5555555555555556,0.7142857142857143,0.0,0.07069454287739192,0.0,0.2589897260273973,7.371489295214277,7.371489295214277
1,-1,11,13,3,4,2,0,3,1,2,0,0,0,1,4,0,6,1,0,4,3,2,1,-1,-1,-1,4,0,4,2,0,3,1,0.7449770122177846,-0.1869821281967997,0.265139116202946,0.0,0.0,0.24227581009796534,0.0,0.6666666666666666,0.0,0.0,0.4,0.6431593794076164,1.1987500080880573,0.3131868131868132,0.0,0.0,0.0,0.0,0.0,0.0,0.7272727272727273,0.75,0.0,0.8888888888888888,0.42857142857142855,0.9666666666666667,0.1810772501771793,0.0,0.2559931506849315,8.056743774975313,8.056743774975313
1,-1,4,5,2,4,1,2,3,0,3,0,3,0,1,4,3,6,-1,-1,-1,-1,2,3,-1,-1,-1,4,0,4,2,4,1,1,-1.9811989603944111,-0.5609356140406917,0.10310965630114566,0.0,0.0,0.05576488319517709,0.0,0.3333333333333333,0.0,0.0,0.1,0.0,,0.13186813186813187,0.045889101338432124,0.0,0.0,0.0,0.0,0.0,0.36363636363636365,1.0,0.9411764705882353,0.3333333333333333,0.5714285714285714,0.36666666666666664,0.02657689581856839,0.3256445047489824,0.0,6.626717749249025,6.626717749249025
1,-1,11,13,1,2,1,3,3,3,1,0,0,0,1,4,2,6,1,2,4,3,2,3,-1,-1,-1,4,0,0,2,0,1,1,,1.105828494292084,0.13060556464811784,0.3956416464891041,0.0,0.30519969856819895,0.5,0.3333333333333333,0.5,0.0,0.6,0.3039492242595205,-1.637218970777982,0.0,0.22753346080305928,0.4716981132075472,0.0,0.0,0.0,0.0,0.36363636363636365,0.5,0.17647058823529413,0.6666666666666666,1.0,0.9333333333333333,0.06041814316087881,0.0,0.1956335616438356,8.043984431221553,8.043984431221553
1,-1,8,2,2,4,1,2,3,3,0,0,3,1,1,4,3,6,1,2,4,3,2,3,-1,-1,-1,4,0,4,2,3,1,1,-1.8609264910144614,-0.5609356140406917,0.13993453355155483,0.2910411622276029,0.0,0.21137905048982666,0.0,0.6666666666666666,0.5,0.0,0.5,0.31029619181946405,-0.03427998272326415,0.03571428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.5454545454545454,1.0,0.8235294117647058,0.5555555555555556,0.42857142857142855,0.4666666666666667,0.055102763997165134,0.0,0.2328767123287671,7.286191714702382,7.286191714702382
1,-1,4,5,2,4,1,2,3,0,1,0,3,2,1,4,3,6,-1,-1,-1,-1,2,3,-1,2,-1,4,0,4,2,3,1,1,-1.9811989603944111,-0.5609356140406917,0.10310965630114566,0.0,0.0,0.05576488319517709,0.0,0.3333333333333333,0.0,0.0,0.1,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.9411764705882353,0.3333333333333333,0.5714285714285714,0.3333333333333333,0.02321048901488306,0.3385345997286296,0.0,6.739336627357174,6.739336627357174
1,-1,7,8,2,2,2,3,3,3,5,0,0,4,1,4,3,6,1,2,4,3,2,3,-1,-1,-1,4,0,4,2,0,1,1,-0.45774768158171353,-0.5609356140406917,0.13355155482815056,0.2523002421307506,0.0,0.1995101733232856,0.0,0.3333333333333333,0.5,0.0,0.6,0.21156558533145275,-0.9796029756786107,0.1662087912087912,0.0,0.0,0.0,0.6463414634146342,0.0,0.0,0.2727272727272727,0.5,0.17647058823529413,0.4444444444444444,0.7142857142857143,0.08333333333333333,0.0,0.0,0.3493150684931507,7.2115567333138015,7.2115567333138015
